COMPANY NAME,CONTACT INFO,ADDRESS,ADDRESS2,CITY,County,POSTCODE,PHONE,Payment Terms,EMAIL
Alner Fabrications,Danny ,Unit 16G ,Chalwin Industrial Estate,Poole,Dorset ,BH12 4PE,07966 931300,14,danalner@gmail.com
AWCC,James,AWCC Poplar Farm,Cowgrove Road,Wimborne,Dorset,BH21 4EL,07377 065928,14,enquiries.awcc@gmail.com
B D Engineering,Steven Roy,The Pines,Shaftesbury Lane,Blandford,Dorset,DT11 7TB,07717 258925,14,Steven@havencrown.co.uk
BORG E.M.R,Nick,55 Springfield Crescent,Parkstone,Poole,Dorset ,BH14 0LL,07967092234,14,borgemr@hotmail.com
Cutler's Autos,Lee Cutler,Enford Farm,Durweston,Blandford,Dorset ,DT11 0QW,07871 755593,14,leecutler5@gmail.com
Chapel Bath,Mike,New Barn Farm,Unit 2 Norton Lane,Whitchurch,Bristol,BS14 0BU,07827 049699,30,mike@chapelbath.co.uk
Classic Land Rover,Stephen Dart,The Old Grain Barn,Southover Farm,Dorchester,Dorset,DT2 7HE,07879 665856,14,steved1879@gmail.com
CMS Engineering,Mike ,Unit 10 Satellite Business Park,Blackswarth Road,,Bristol,BS5 8GU,01179 412596,30,info@cms-engineering.com
Coltech Classics ,Paul,Unit 6 ,46 Holton Road,Poole,Dorset,BH16 6LT,07921 140325,14,coltechclassics@aol.com
Dorset Carports LTD,Shaun Rowe,Poplar Farm,Cowgrove Road,Wimborne,Dorset,BH21 4EL,07970 066924,14,Shaun@dorsetcarports.co.uk
Dorset Classic & Custom,Mark Finch,The Barn By The Pond,Higher Farm,Chettle ,Dorset ,DT11 8DB,07925 035545,14,sunbeamfinch@gmail.com
Global Steel LTD,Victoria,Unit 3G & 7E Henbury Farm ,Dorchester Road,Sturminster Marshall ,Dorset,BH21 3RN,01258 857001,14,info@globalsteel.co.uk
Ian Thackray Blacksmith,Ian Thackray,The Forge,Higher Farm,Chettle,Dorset ,DT11 8DA,07590 429696,14,ian@villagesmith.co.uk
Iron Works Dorset LTD,Lee Drage,18 Acreman Close,Cerne Abbas,Dorchester,Dorset,DT2 7JU,07970 260605,14,Lee@ironworks-dorset.co.uk
JBF Welding,Richard,Unit 1 Cove Passage ,Cove Row,Weymouth ,Dorset ,DT4 8TT,07738065969,14,richardjohnson@jbfwelding.co.uk
JG Fabrications,James,98 Northbrook Road,Broadstone,Poole,Dorset,BH18 8HG,07798 500789,14,james@jgfabrications.co.uk
Kingston Forge,Dan Salmon,Abbott Street,Pamphill ,Wimborne,Dorset,BH21 4EF,07388331251,14,kingstonforgeuk@gmail.com
Lewis Royley,,84 Edwina Drive,Broadstone,,Dorset,BH17 7JG,07586 979390,14,lsjroyley@hotmail.com
MetalGeezer,Brian Ricketts,Unit 2,108 London Road,Bath,Somerset,BA1 7DB,07377651545,14,metalgeezer1@gmail.com
Motorweld,Paul,Eldon Wall Trading Estate,Eldon Way,Brislington,Bristol,BS4 3QQ,01179 716060,14,mail@motorweld.com
Peter Rideout Agri Services,Peter Ridout,Higher Farm ,,Chettle,Dorset ,DT11 8DA,,14,fordtractorspares@btinternet.com
Peter Russell,Peter,6 Warren Way ,Holton Heath,Poole,Dorset,BH16 6NJ,07980 374068,14,rpeter635@aol.com
Quay Manufacturing,Leigh Slaymaker ,Quay Manufacturing,Sandford Lane,Wareham,Dorset ,BH20 4DY,07391 105562,14,quaymanufacturing@gmail.com
R M Fabrications,Spencer Hopkins,1-4 Ashley Heath Industrial Estate,Three Legged Cross,Wimborne,Dorset,BH21 6UZ,01202 828240,14,spencer@rmfabrications.co.uk
RCM Motors,Craig ,Millwey Rise Industrial Estate,Unit 6 Weycroft Avenue ,Axminster,Devon,EX13 5HU,01297 34047,14,rcmmotors.axminster@gmail.com
Rose Engineering,Amy,Rose Engineering ,Bagber Common,Sturminster Newton,Dorset,DT10 2HB,01258 472866,30,Info@rose-engineering.co.uk
