Main Category,Subcategory,Type,Product Code,Description,Unit Price,Stock
Abrasives,Fibre Discs,Zirconium,115F24Z,115*24# Fibre Disc - Zirconium,0.41,10
Abrasives,Fibre Discs,Zirconium,115F36Z,115*36# Fibre Disc - Zirconium,0.4,10
Abrasives,Fibre Discs,Zirconium,115F60Z,115*60# Fibre Disc - Zirconium,0.39,10
Abrasives,Fibre Discs,Zirconium,115F120z,115*120# Fibre Disc - Zirconium,0.38,10
Abrasives,Fibre Discs,Aluminium Oxide,115F36AO,115*36# Fibre Disc - Aluminium Oxide,0.3,10
Abrasives,Fibre Discs,Aluminium Oxide,NF10036,115*36# Fibre Disc - Aluminium Oxide,0.37,10
Abrasives,Sanding,,152DA120,120# Dual Action Polishing Pad 50pcs - Klingspor,12.48,10
Abrasives,Sanding,,152DA240,240# Dual Action Polishing Pad 50pcs - Klingspor,12.48,10
Abrasives,Sanding,,152DA60,60# Dual Action Polishing Pad 50pcs - Klingspor,21.84,10
Abrasives,Sanding,,152DA80,80# Dual Action Polishing Pad 50pcs - Klingspor,12.48,10
Abrasives,Sanding,,3MROL1202,3M Roloc 120# Aluminum Oxide 50pk,33.6,10
Abrasives,Surface Preparation,,115PSDA,Abracs Poly Stripping Disc (Black),5.42,10
Abrasives,Surface Preparation,,115PSDU,Nylon Stripping Disc (Purple),3.5,10
Abrasives,Surface Preparation,,3MHPB,3M Scotch-Brite 7440 A-MED Brown 20pk,76.11,10
Abrasives,Surface Preparation,,3MHPG,3M Scotch-Brite 7496 A-VFN Green 20pk,33.18,10
Abrasives,Surface Preparation,,3MPM,3M Scotch-Brite 7447+ A-VFN Maroon 20pk,27.6,10
Abrasives,Surface Preparation,,3MROLBDY,"3M Roloc Bristle Disc 2"" - Yellow 10pk",63.49,10
Abrasives,Surface Preparation,,3MROLSBM,"3M Scotch-Brite A-Med Roloc 2"" 50pk",74.5,10
Abrasives,Surface Preparation,,3MSBSCBDB,3M Scotch-Brite 115mm Surface Conditioning Backed Disc 10pk,52.58,10
Abrasives,Surface Preparation,,ABFFD,Abracs Felt Finsihing Disc,4.26,10
Abrasives,Surface Preparation,,DR100VF,Klingspor Non-Woven Combi Drum 180 A-VFN (Stainless),33.23,10
Abrasives,Surface Preparation,,NORPSD,Norton Blaze 115mm Poly Stripping Disc,9.52,10
Abrasives,Surface Preparation,,TOFWHL,Powertech - Fluted Stripe Off Disc,17.98,10
Abrasives,Grinding & Cutting Discs,Cutting,115CAO,1151.022.23mm Aluminium Oxide Cutting Disc,0.41,10
